,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
92,11.0,3.0,17.0,7.0,4.0,0.0,7.0,0.0,18.0,0.0,-1.0,0.0,0.0,11.0,0.0,0.0,16.0,16.0,16.0,16.0,1.0,26.35,13.649999999999999,17.299999999999997
93,10.0,3.0,19.0,4.0,1.0,0.0,0.0,18.0,0.0,9.0,0.0,0.0,11.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,10.516666666666666,9.816666666666666,12.166666666666668
94,11.0,3.0,20.0,0.0,0.0,0.0,18.0,0.0,9.0,11.0,0.0,11.0,0.0,0.0,10.0,0.0,16.0,16.0,16.0,16.0,0.0,-10.666666666666666,-12.916666666666666,3.0833333333333335
95,12.0,3.0,20.0,6.0,8.0,0.0,0.0,9.0,11.0,13.0,-0.0,0.0,0.0,10.0,0.0,-0.0,16.0,16.0,16.0,16.0,0.0,8.600000000000001,8.4,11.2
96,14.0,3.0,20.0,0.0,5.0,0.0,9.0,11.0,13.0,8.0,0.0,0.0,10.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,1.5,7.0,9.5
97,16.0,3.0,20.0,0.0,2.0,0.0,11.0,13.0,8.0,16.0,0.0,10.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,-2.7333333333333334,6.316666666666666,8.516666666666666
98,17.0,3.0,20.0,0.0,7.0,0.0,13.0,8.0,16.0,17.0,2.0,0.0,0.0,0.0,11.0,-2.0,16.0,16.0,16.0,16.0,0.0,-1.7333333333333334,-5.933333333333334,6.266666666666667
99,17.0,3.0,20.0,0.0,4.0,0.0,8.0,16.0,17.0,16.0,0.0,0.0,0.0,11.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,6.2,8.3,10.7
100,16.0,3.0,20.0,0.0,1.0,0.0,16.0,17.0,16.0,17.0,0.0,0.0,11.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,-6.366666666666666,5.533333333333334,7.633333333333334
101,16.0,3.0,20.0,0.0,0.0,0.0,17.0,16.0,17.0,12.0,-0.0,11.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,17.833333333333332,7.333333333333333,12.833333333333332
102,17.0,3.0,20.0,0.0,8.0,0.0,16.0,17.0,12.0,17.0,0.0,0.0,0.0,0.0,11.0,-0.0,16.0,16.0,16.0,16.0,0.0,10.233333333333334,-5.566666666666666,8.733333333333334
103,16.0,3.0,20.0,0.0,5.0,0.0,17.0,12.0,17.0,6.0,-0.0,0.0,0.0,11.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,26.833333333333336,13.333333333333334,15.833333333333334
104,17.0,3.0,20.0,0.0,2.0,0.0,12.0,17.0,6.0,18.0,0.0,0.0,11.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,12.933333333333334,10.233333333333334,12.433333333333334
105,14.0,2.0,20.0,0.0,0.0,0.0,17.0,6.0,18.0,17.0,0.0,11.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,3.1666666666666665,6.166666666666666,9.666666666666666
106,13.0,3.0,20.0,4.0,8.0,0.0,6.0,18.0,17.0,13.0,0.0,0.0,0.0,0.0,11.0,-0.0,16.0,16.0,16.0,16.0,0.0,7.033333333333333,-6.366666666666666,7.933333333333334
107,12.0,3.0,20.0,0.0,5.0,0.0,18.0,17.0,13.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,15.5,10.5,13.0
108,12.0,3.0,20.0,6.0,2.0,0.0,17.0,13.0,5.0,10.0,-0.0,0.0,11.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,12.8,10.2,12.399999999999999
109,11.0,2.0,20.0,6.0,0.0,2.0,13.0,5.0,10.0,2.0,-6.0,11.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,6.0,28.799999999999997,12.4,15.2
110,11.0,2.0,20.0,8.0,9.0,0.0,5.0,10.0,2.0,18.0,0.0,0.0,0.0,0.0,11.0,-0.0,16.0,16.0,16.0,16.0,0.0,-3.5333333333333328,-10.133333333333333,9.266666666666667
111,10.0,2.0,20.0,0.0,7.0,4.0,10.0,2.0,18.0,0.0,-8.0,0.0,0.0,11.0,0.0,0.0,16.0,16.0,16.0,16.0,8.0,20.8,8.850000000000001,9.65
112,10.0,2.0,20.0,0.0,5.0,0.0,2.0,18.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,10.0,9.0,20.0
113,10.0,2.0,20.0,0.0,0.0,0.0,18.0,0.0,11.0,11.0,4.0,11.0,0.0,0.0,0.0,-5.0,16.0,16.0,16.0,16.0,1.0,-7.5,5.5,8.0
114,11.0,2.0,20.0,7.0,9.0,0.0,0.0,11.0,11.0,13.0,-0.0,0.0,0.0,0.0,11.0,-0.0,16.0,16.0,16.0,16.0,0.0,2.0999999999999996,-9.600000000000001,6.3
115,11.0,2.0,20.0,0.0,7.0,0.0,11.0,11.0,13.0,7.0,0.0,0.0,0.0,11.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,5.6,5.9,10.1
116,10.0,2.0,20.0,1.0,5.0,0.0,11.0,13.0,7.0,13.0,-0.0,0.0,11.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,4.866666666666667,5.966666666666667,9.966666666666667
117,10.0,3.0,20.0,1.0,2.0,0.0,13.0,7.0,13.0,0.0,-1.0,11.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,1.0,24.96666666666667,13.366666666666667,16.066666666666666
118,10.0,2.0,20.0,3.0,9.0,0.0,7.0,13.0,0.0,13.0,-1.0,0.0,0.0,0.0,8.0,-2.0,16.0,16.0,16.0,16.0,3.0,4.133333333333334,-2.466666666666667,9.933333333333334
119,10.0,2.0,20.0,0.0,7.0,0.0,13.0,0.0,13.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,14.266666666666666,8.066666666666666,12.266666666666666
120,9.0,3.0,20.0,4.0,4.0,0.0,0.0,13.0,6.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,8.333333333333332,8.833333333333332,11.233333333333334
121,9.0,3.0,19.0,0.0,1.0,0.0,13.0,6.0,9.0,14.0,0.0,8.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,-9.283333333333333,4.866666666666667,7.216666666666667
